date,open,high,low,close,volume,marketcap,fng,avg_block_size,difficulty,hash_rate,miner_revenue,unique_active_address,search_volume,sp500,gold_price,nlp_compound,nlp_subjectivity,nlp_polarity
12/10/2022,17134.22137,17216.82559,17120.68432,17128.72371,12706781969,3.29E+11,27,1.28505326,3.42E+13,261867134.4,17384313.2,617455,9,,,0.187266667,0.647873737,0.030943603
12/9/2022,17232.148,17280.54616,17100.83625,17133.15201,20328426366,3.29E+11,26,1.180113158,3.42E+13,257703355,16800417.05,662365,11,3934.379883,1810.7,0.413885714,0.407142857,0.139769345
12/8/2022,16847.35025,17267.91576,16788.78382,17233.47402,20496603770,3.31E+11,25,1.004454653,3.42E+13,257239076.8,17938099.12,646079,13,3963.51001,1801.5,0.3591,0.291049383,0.086419753
12/7/2022,17089.50627,17109.37749,16750.55813,16848.12763,19675404389,3.24E+11,29,1.029506198,3.42E+13,251622832.9,18475686,652144,12,3933.919922,1798,0.0713,0.397083083,0.137929543
12/6/2022,16975.23912,17091.86418,16939.92235,17089.50371,19889922369,3.29E+11,25,1.328943726,3.45E+13,252956219.7,14725089.49,637825,12,3941.26001,1782.4,0.158725,0.40531994,0.110863095
12/5/2022,17128.89408,17378.15331,16922.43187,16974.82567,22209086834,3.26E+11,26,1.246357904,3.70E+13,251119400.7,16039165.98,654949,12,3998.840088,1781.3,0.249972727,0.410304113,0.197246392
12/4/2022,16908.17048,17157.76724,16903.43983,17130.48595,16824520830,3.29E+11,26,1.0863777,3.70E+13,250069789.8,15184340.83,570337,11,,,0.112133333,0.326728595,0.075829726
12/3/2022,17090.09849,17116.04081,16888.14081,16908.2368,16217776704,3.25E+11,27,1.318575214,3.70E+13,244296930.1,14299138.04,650867,11,,,0.189171429,0.311363636,0.051623377
12/2/2022,16968.68326,17088.66041,16877.8816,17088.66041,19539705127,3.28E+11,27,1.39248088,3.70E+13,243772124.6,13741034.34,686664,12,4071.699951,1809.6,0.5018375,0.426547619,0.1903125
12/1/2022,17168.00214,17197.49725,16888.38789,16967.13367,22895392882,3.26E+11,27,1.255363392,3.70E+13,237474459.4,17271537.92,704310,13,4076.570068,1815.2,0.196066667,0.331919192,0.261489899
11/30/2022,16445.47749,17190.93827,16445.47749,17168.56555,29523576583,3.30E+11,29,1.248211297,3.70E+13,238261667.6,15034912.98,656181,13,4080.110107,1759.9,0.388981818,0.38219697,0.270616883
11/29/2022,16217.6399,16522.25747,16139.39628,16444.98327,23581685468,3.16E+11,26,1.361236122,3.70E+13,236949654,13816257.52,658815,13,3957.629883,1763.7,0.39202,0.589166667,0.195208333
11/28/2022,16440.22209,16482.93354,16054.53022,16217.32247,27743025156,3.12E+11,28,1.336178187,3.70E+13,234325626.8,14875224.89,630827,14,3963.939941,1755.3,0.11505,0.182857143,0.03452381
11/27/2022,16463.88317,16594.40547,16437.02533,16444.62683,20443898509,3.16E+11,26,1.15047161,3.70E+13,237549658,14358617.12,568789,11,,,0,0,0
11/26/2022,16521.57702,16666.86293,16416.22869,16464.28108,18000008764,3.16E+11,22,1.519975982,3.70E+13,247324396.9,11674337.02,598183,11,,,-0.08375,0.450396825,0.053571429
11/25/2022,16602.26952,16603.31699,16388.40495,16521.84102,18678255976,3.17E+11,20,1.506700537,3.70E+13,251336973.4,13127718.39,640008,13,4026.120117,1754,0.28595,0.5,0.4
11/24/2022,16611.63767,16771.47524,16501.76805,16604.46502,26129037414,3.19E+11,20,1.571701419,3.70E+13,253514068,13846331.45,642832,14,,1755.35,0.10195,0.502083333,0.296875
11/23/2022,16195.58867,16638.19249,16170.5025,16610.70641,32958875628,3.19E+11,22,1.474427064,3.70E+13,255675116.6,15202435.49,696412,15,4027.26001,1745.6,0.244053846,0.335171495,0.121602564
11/22/2022,15782.30123,16253.04775,15656.60606,16189.76953,30726828760,3.11E+11,22,1.423033532,3.70E+13,263077533.7,12966806.15,623451,17,4003.580078,1739.9,0.268688889,0.343364198,0.228240741
11/21/2022,16291.2238,16291.2238,15599.04718,15787.28409,37429485518,3.03E+11,21,1.422428729,3.70E+13,261338645.2,13533870.26,661220,17,3949.939941,1739.6,-0.12505,0,0
11/20/2022,16712.92046,16746.78016,16248.69283,16291.83247,21313378652,3.13E+11,24,1.424174745,3.68E+13,256105299.7,15982750.02,595776,13,,,0.122083333,0.441666667,0.1984375
11/19/2022,16696.21991,16797.877,16570.41075,16711.54779,16106223492,3.21E+11,23,1.496934905,3.68E+13,261326610.6,15732345.43,647807,14,,,0.229942857,0.310497835,0.11344697
11/18/2022,16687.91158,16947.0584,16564.61168,16697.77767,26862218609,3.21E+11,23,1.369823791,3.68E+13,260021282.9,15266118.62,697975,16,3965.340088,1754.4,-0.15,0.69,0.096666667
11/17/2022,16670.42676,16726.43884,16460.68349,16687.51795,27868914022,3.21E+11,20,1.302199935,3.68E+13,262370872.8,15097004.52,636467,20,3946.560059,1763,0.021342857,0.13579932,-0.006972789
11/16/2022,16884.34119,16960.29518,16430.11128,16669.44014,33925512989,3.20E+11,23,1.30956302,3.68E+13,262109807.2,16237808.61,670368,19,3958.790039,1775.8,0.14967619,0.458227198,0.143686067
11/15/2022,16617.48474,17051.96197,16542.55127,16884.61391,36599436183,3.24E+11,22,1.33595969,3.68E+13,264198331.6,16924308.16,703644,20,3991.72998,1776.8,0.153472727,0.559133434,0.121994895
11/14/2022,16352.02856,17109.32335,15872.94161,16618.19923,49630243054,3.19E+11,24,1.294296976,3.68E+13,269685404.6,13223056.12,661596,24,3957.25,1776.9,0.093722222,0.350687831,0.01287037
11/13/2022,16799.72229,16920.7664,16320.63515,16353.36572,27209183682,3.14E+11,22,1.210634915,3.68E+13,271845421.4,13715309.64,656286,21,,,-0.0834,0.055555556,0.052083333
11/12/2022,17036.87541,17066.67549,16651.77477,16799.18474,29717699419,3.23E+11,21,1.077008749,3.68E+13,267747170.8,17874099.04,677645,23,,,-0.29295,0,0
11/11/2022,17583.25243,17650.94405,16543.48239,17034.29313,55871616488,3.27E+11,25,1.311679448,3.68E+13,266509160.8,14900952.89,747386,26,3992.929932,1769.4,0.123376923,0.370907426,-0.000305788
11/10/2022,15883.15823,18054.31178,15834.01809,17586.77145,83202283721,3.38E+11,22,1.321115014,3.68E+13,271032857.2,15963715.77,774942,31,3956.370117,1753.7,0.2146875,0.201785714,0.06547619
11/9/2022,18543.76125,18590.45957,15682.69284,15880.77985,1.03E+11,3.05E+11,29,1.31095006,3.68E+13,264047752.2,16756916.9,754032,30,3748.570068,1713.7,0.19565,0.142708333,-9.47E-05
